Participant ,1 time,1 accuracy,2 time,2 accuracy,3 time,3 accuracy,4 time,4 accuracy,5 time,5 accuracy,6 time,6 accuracy,7 time,7 accuracy
1,4.2,1,1.3,1,2.2,1,2.9,1,9.2,1,7.6,1,7.4,1
2,17,2,5.5,1,10,3,3.4,1,18.8,2,7.4,2,7.5,1
3,7.6,1,13,4,12.7,3,3.7,1,17.3,1,13,3,17,1
4,4.1,1,2.3,1,4.5,1,8,1,5,1,7.1,1,10.2,1
5,3.9,11,2.7,1,6,1,5.2,1,16,1,10,2,12.2,1
6,13.9,1,7.5,2,10,6,3.6,2,3,1,4.2,2,10.1,4
7,9.4,2,3.6,1,8.5,1,15.8,2,10.2,1,11.8,1,12.1,1
8,3.5,2,2.7,1,6.9,1,5.5,2,18.7,1,11.6,2,11.9,1
9,3.4,1,1.7,1,7.4,1,12.8,4,7.9,1,8.2,1,8.9,1
10,6.5,2,1.2,1,4.9,1,3,1,6.2,1,6,2,9,1
11,5.8,1,4.1,1,8.5,1,9.3,1,18.1,1,22.6,1,39.4,1
12,2.8,1,2.7,2,5.5,1,3,1,14.5,2,8.2,4,12.3,2
13,2.2,1,1.7,1,4,1,8,3,5.6,1,11,1,14,1
14,2.7,2,2,1,6.1,1,6.9,5,6,2,7,4,12.2,3
15,7.4,1,6.5,1,9.7,1,5.7,1,10.4,1,10,1,13.9,1
16,10.8,1,1.1,1,10.3,1,5,1,7.9,1,10.3,1,12.8,1
17,3.9,1,2.4,2,14,1,8,3,14.6,1,6.1,2,24.5,2
18,3.3,1,2.2,1,7.2,2,4.5,1,8.2,3,5.9,2,9.2,1
19,4.6,1,2.6,1,5.6,1,2.6,1,41,2,4,1,27.8,6
20,6.3,2,2.7,1,8.7,1,10,2,15.2,1,19.2,1,55,2
21,5.1,3,2,1,6.8,1,10,1,24.1,1,18.1,1,22.1,2
22,3.7,1,1.7,1,4.7,1,4.7,1,14.2,2,13.8,2,15.4,1
23,2.6,1,2.2,1,5.1,1,5.5,1,17.2,2,4.5,1,9.9,1
24,3.7,1,2.3,1,5.5,1,4.9,1,20.1,3,11.9,3,11.9,2
25,4.5,1,3.6,1,4.9,1,7.2,2,11.2,2,5.5,1,24.4,1
